Y,X,time,lat,lon,RR
4429500.0,5000500.0,2018-04-21,62.392517,23.1715,16.7
4429500.0,5001500.0,2018-04-21,62.39084,23.190426,16.7
4429500.0,5002500.0,2018-04-21,62.389156,23.209349,16.6
4429500.0,5003500.0,2018-04-21,62.38747,23.22827,16.8
4429500.0,5004500.0,2018-04-21,62.385784,23.24719,16.7
4429500.0,5005500.0,2018-04-21,62.384098,23.266108,16.7
4429500.0,5006500.0,2018-04-21,62.382404,23.285025,16.6
4429500.0,5007500.0,2018-04-21,62.38071,23.303938,16.7
4429500.0,5008500.0,2018-04-21,62.379017,23.32285,16.7
4429500.0,5009500.0,2018-04-21,62.37732,23.34176,16.7
4429500.0,5010500.0,2018-04-21,62.375618,23.360668,11.4
4429500.0,5011500.0,2018-04-21,62.373913,23.379574,11.5
4429500.0,5012500.0,2018-04-21,62.372208,23.398478,11.6
4429500.0,5013500.0,2018-04-21,62.370502,23.41738,11.9
4429500.0,5014500.0,2018-04-21,62.36879,23.43628,12.1
4429500.0,5015500.0,2018-04-21,62.367077,23.455177,12.3
4429500.0,5016500.0,2018-04-21,62.365364,23.474073,12.3
4429500.0,5017500.0,2018-04-21,62.363647,23.492968,12.4
4429500.0,5018500.0,2018-04-21,62.361927,23.51186,12.4
4429500.0,5019500.0,2018-04-21,62.360203,23.53075,12.5
4428500.0,5000500.0,2018-04-21,62.383694,23.167662,16.5
4428500.0,5001500.0,2018-04-21,62.382015,23.18658,16.5
4428500.0,5002500.0,2018-04-21,62.380333,23.2055,16.5
4428500.0,5003500.0,2018-04-21,62.37865,23.224417,16.6
4428500.0,5004500.0,2018-04-21,62.376965,23.243332,16.5
4428500.0,5005500.0,2018-04-21,62.375275,23.262243,16.5
4428500.0,5006500.0,2018-04-21,62.373585,23.281155,16.4
4428500.0,5007500.0,2018-04-21,62.37189,23.300062,16.4
4428500.0,5008500.0,2018-04-21,62.370193,23.31897,16.5
4428500.0,5009500.0,2018-04-21,62.3685,23.337875,11.3
4428500.0,5010500.0,2018-04-21,62.3668,23.356777,11.3
4428500.0,5011500.0,2018-04-21,62.365093,23.375677,11.4
4428500.0,5012500.0,2018-04-21,62.36339,23.394577,11.4
4428500.0,5013500.0,2018-04-21,62.361683,23.413473,11.8
4428500.0,5014500.0,2018-04-21,62.359974,23.43237,11.9
4428500.0,5015500.0,2018-04-21,62.35826,23.451262,12.2
4428500.0,5016500.0,2018-04-21,62.35655,23.470154,12.3
4428500.0,5017500.0,2018-04-21,62.35483,23.489042,12.4
4428500.0,5018500.0,2018-04-21,62.35311,23.507929,12.4
4428500.0,5019500.0,2018-04-21,62.35139,23.526814,12.4
4427500.0,5000500.0,2018-04-21,62.374866,23.163824,16.2
4427500.0,5001500.0,2018-04-21,62.373188,23.18274,16.2
4427500.0,5002500.0,2018-04-21,62.37151,23.201654,16.2
4427500.0,5003500.0,2018-04-21,62.369823,23.220566,16.3
4427500.0,5004500.0,2018-04-21,62.36814,23.239475,16.3
4427500.0,5005500.0,2018-04-21,62.36645,23.258383,16.3
4427500.0,5006500.0,2018-04-21,62.36476,23.277288,16.2
4427500.0,5007500.0,2018-04-21,62.363068,23.29619,16.2
4427500.0,5008500.0,2018-04-21,62.361374,23.315092,11.0
4427500.0,5009500.0,2018-04-21,62.359676,23.333992,11.2
4427500.0,5010500.0,2018-04-21,62.35798,23.35289,11.2
4427500.0,5011500.0,2018-04-21,62.356277,23.371786,11.3
4427500.0,5012500.0,2018-04-21,62.354572,23.390678,11.4
4427500.0,5013500.0,2018-04-21,62.352863,23.40957,11.7
4427500.0,5014500.0,2018-04-21,62.351154,23.428461,11.8
4427500.0,5015500.0,2018-04-21,62.349445,23.44735,12.0
4427500.0,5016500.0,2018-04-21,62.34773,23.466234,12.1
4427500.0,5017500.0,2018-04-21,62.346012,23.485119,12.2
4427500.0,5018500.0,2018-04-21,62.344296,23.504,12.3
4427500.0,5019500.0,2018-04-21,62.342575,23.52288,12.4
4426500.0,5000500.0,2018-04-21,62.366043,23.159992,16.0
4426500.0,5001500.0,2018-04-21,62.364365,23.178902,16.0
4426500.0,5002500.0,2018-04-21,62.362682,23.19781,16.0
4426500.0,5003500.0,2018-04-21,62.361004,23.216717,16.0
4426500.0,5004500.0,2018-04-21,62.359318,23.23562,16.0
4426500.0,5005500.0,2018-04-21,62.35763,23.254522,16.0
4426500.0,5006500.0,2018-04-21,62.35594,23.273422,15.9
4426500.0,5007500.0,2018-04-21,62.354248,23.292322,10.8
4426500.0,5008500.0,2018-04-21,62.352554,23.311218,10.9
4426500.0,5009500.0,2018-04-21,62.350857,23.330112,11.1
4426500.0,5010500.0,2018-04-21,62.34916,23.349005,11.1
4426500.0,5011500.0,2018-04-21,62.347458,23.367895,11.3
4426500.0,5012500.0,2018-04-21,62.345753,23.386784,11.5
4426500.0,5013500.0,2018-04-21,62.344048,23.40567,11.7
4426500.0,5014500.0,2018-04-21,62.34234,23.424555,11.8
4426500.0,5015500.0,2018-04-21,62.340626,23.443438,11.9
4426500.0,5016500.0,2018-04-21,62.338913,23.462318,11.9
4426500.0,5017500.0,2018-04-21,62.337196,23.481197,12.0
4426500.0,5018500.0,2018-04-21,62.33548,23.500074,12.2
4426500.0,5019500.0,2018-04-21,62.33376,23.518948,12.2
4425500.0,5000500.0,2018-04-21,62.357216,23.15616,15.8
4425500.0,5001500.0,2018-04-21,62.35554,23.175066,15.7
4425500.0,5002500.0,2018-04-21,62.35386,23.19397,15.8
4425500.0,5003500.0,2018-04-21,62.352177,23.21287,15.7
4425500.0,5004500.0,2018-04-21,62.350494,23.23177,15.8
4425500.0,5005500.0,2018-04-21,62.34881,23.250666,15.8
4425500.0,5006500.0,2018-04-21,62.34712,23.269562,10.5
4425500.0,5007500.0,2018-04-21,62.34543,23.288454,10.6
4425500.0,5008500.0,2018-04-21,62.343735,23.307346,10.8
4425500.0,5009500.0,2018-04-21,62.342037,23.326235,10.9
4425500.0,5010500.0,2018-04-21,62.34034,23.345121,11.1
4425500.0,5011500.0,2018-04-21,62.33864,23.364008,11.2
4425500.0,5012500.0,2018-04-21,62.336933,23.38289,11.2
4425500.0,5013500.0,2018-04-21,62.335228,23.401773,11.5
4425500.0,5014500.0,2018-04-21,62.33352,23.420652,11.6
4425500.0,5015500.0,2018-04-21,62.33181,23.43953,11.7
4425500.0,5016500.0,2018-04-21,62.330097,23.458405,11.8
4425500.0,5017500.0,2018-04-21,62.32838,23.477278,11.9
4425500.0,5018500.0,2018-04-21,62.326664,23.49615,12.0
4425500.0,5019500.0,2018-04-21,62.324944,23.51502,12.1
4424500.0,5000500.0,2018-04-21,62.348392,23.152332,15.6
4424500.0,5001500.0,2018-04-21,62.346714,23.171232,15.5
4424500.0,5002500.0,2018-04-21,62.345036,23.19013,15.6
4424500.0,5003500.0,2018-04-21,62.343353,23.209026,15.4
4424500.0,5004500.0,2018-04-21,62.34167,23.22792,15.5
4424500.0,5005500.0,2018-04-21,62.339985,23.246813,10.3
4424500.0,5006500.0,2018-04-21,62.338295,23.265701,10.4
4424500.0,5007500.0,2018-04-21,62.336605,23.28459,10.5
4424500.0,5008500.0,2018-04-21,62.33491,23.303476,10.6
4424500.0,5009500.0,2018-04-21,62.333218,23.32236,10.8
4424500.0,5010500.0,2018-04-21,62.331516,23.341244,11.0
4424500.0,5011500.0,2018-04-21,62.32982,23.360123,11.1
4424500.0,5012500.0,2018-04-21,62.328114,23.379002,11.0
4424500.0,5013500.0,2018-04-21,62.32641,23.397877,11.3
4424500.0,5014500.0,2018-04-21,62.324703,23.416752,11.5
4424500.0,5015500.0,2018-04-21,62.322994,23.435623,11.6
4424500.0,5016500.0,2018-04-21,62.32128,23.454494,11.7
4424500.0,5017500.0,2018-04-21,62.319565,23.473362,11.8
4424500.0,5018500.0,2018-04-21,62.31785,23.49223,11.9
4424500.0,5019500.0,2018-04-21,62.31613,23.511093,12.0
4423500.0,5000500.0,2018-04-21,62.339565,23.148506,15.4
4423500.0,5001500.0,2018-04-21,62.33789,23.167402,15.3
4423500.0,5002500.0,2018-04-21,62.336212,23.186295,15.3
4423500.0,5003500.0,2018-04-21,62.33453,23.205185,15.3
4423500.0,5004500.0,2018-04-21,62.332848,23.224073,10.1
4423500.0,5005500.0,2018-04-21,62.33116,23.24296,10.2
4423500.0,5006500.0,2018-04-21,62.329475,23.261845,10.3
4423500.0,5007500.0,2018-04-21,62.32778,23.280727,10.4
4423500.0,5008500.0,2018-04-21,62.32609,23.299608,10.6
4423500.0,5009500.0,2018-04-21,62.324394,23.318487,10.8
4423500.0,5010500.0,2018-04-21,62.322697,23.337364,10.9
4423500.0,5011500.0,2018-04-21,62.321,23.35624,11.1
4423500.0,5012500.0,2018-04-21,62.319298,23.375113,11.1
4423500.0,5013500.0,2018-04-21,62.317593,23.393984,11.2
4423500.0,5014500.0,2018-04-21,62.315884,23.412853,11.4
4423500.0,5015500.0,2018-04-21,62.314175,23.43172,11.6
4423500.0,5016500.0,2018-04-21,62.312466,23.450586,11.7
4423500.0,5017500.0,2018-04-21,62.31075,23.469448,11.8
4423500.0,5018500.0,2018-04-21,62.309032,23.48831,11.8
4423500.0,5019500.0,2018-04-21,62.307316,23.50717,11.9
4422500.0,5000500.0,2018-04-21,62.33074,23.144684,15.2
4422500.0,5001500.0,2018-04-21,62.329063,23.163572,15.2
4422500.0,5002500.0,2018-04-21,62.32739,23.18246,15.2
4422500.0,5003500.0,2018-04-21,62.325706,23.201345,9.8
4422500.0,5004500.0,2018-04-21,62.324024,23.22023,9.9
4422500.0,5005500.0,2018-04-21,62.32234,23.23911,10.1
4422500.0,5006500.0,2018-04-21,62.320652,23.257992,10.2
4422500.0,5007500.0,2018-04-21,62.318962,23.276869,10.3
4422500.0,5008500.0,2018-04-21,62.31727,23.295746,10.4
4422500.0,5009500.0,2018-04-21,62.315575,23.314617,10.6
4422500.0,5010500.0,2018-04-21,62.313877,23.33349,10.8
4422500.0,5011500.0,2018-04-21,62.31218,23.35236,11.0
4422500.0,5012500.0,2018-04-21,62.31048,23.371227,11.0
4422500.0,5013500.0,2018-04-21,62.308773,23.390095,11.2
4422500.0,5014500.0,2018-04-21,62.307068,23.408958,11.3
4422500.0,5015500.0,2018-04-21,62.30536,23.42782,11.5
4422500.0,5016500.0,2018-04-21,62.303646,23.44668,11.6
4422500.0,5017500.0,2018-04-21,62.301933,23.465538,11.7
4422500.0,5018500.0,2018-04-21,62.300217,23.484394,11.7
4422500.0,5019500.0,2018-04-21,62.2985,23.503248,11.8
4421500.0,5000500.0,2018-04-21,62.321915,23.140863,15.0
4421500.0,5001500.0,2018-04-21,62.32024,23.159746,15.0
4421500.0,5002500.0,2018-04-21,62.31856,23.17863,15.0
4421500.0,5003500.0,2018-04-21,62.316883,23.19751,9.8
4421500.0,5004500.0,2018-04-21,62.3152,23.216389,9.8
4421500.0,5005500.0,2018-04-21,62.313515,23.235266,10.0
4421500.0,5006500.0,2018-04-21,62.31183,23.254139,10.1
4421500.0,5007500.0,2018-04-21,62.31014,23.273012,10.2
4421500.0,5008500.0,2018-04-21,62.30845,23.291883,10.2
4421500.0,5009500.0,2018-04-21,62.306755,23.310751,10.4
4421500.0,5010500.0,2018-04-21,62.305058,23.329618,10.6
4421500.0,5011500.0,2018-04-21,62.30336,23.348482,10.8
4421500.0,5012500.0,2018-04-21,62.30166,23.367346,10.9
4421500.0,5013500.0,2018-04-21,62.299953,23.386206,11.1
4421500.0,5014500.0,2018-04-21,62.29825,23.405066,11.4
4421500.0,5015500.0,2018-04-21,62.29654,23.423922,11.5
4421500.0,5016500.0,2018-04-21,62.29483,23.442778,11.6
4421500.0,5017500.0,2018-04-21,62.293118,23.46163,11.6
4421500.0,5018500.0,2018-04-21,62.2914,23.48048,11.7
4421500.0,5019500.0,2018-04-21,62.289684,23.49933,11.8
4420500.0,5000500.0,2018-04-21,62.313087,23.137045,14.9
4420500.0,5001500.0,2018-04-21,62.311417,23.155924,14.9
4420500.0,5002500.0,2018-04-21,62.30974,23.1748,9.6
4420500.0,5003500.0,2018-04-21,62.30806,23.193676,9.7
4420500.0,5004500.0,2018-04-21,62.306377,23.21255,9.7
4420500.0,5005500.0,2018-04-21,62.30469,23.23142,9.8
4420500.0,5006500.0,2018-04-21,62.303005,23.25029,10.0
4420500.0,5007500.0,2018-04-21,62.30132,23.269157,10.1
4420500.0,5008500.0,2018-04-21,62.299625,23.288023,10.1
4420500.0,5009500.0,2018-04-21,62.297935,23.306887,10.2
4420500.0,5010500.0,2018-04-21,62.296238,23.325748,10.4
4420500.0,5011500.0,2018-04-21,62.29454,23.344608,10.5
4420500.0,5012500.0,2018-04-21,62.29284,23.363464,10.7
4420500.0,5013500.0,2018-04-21,62.291138,23.38232,11.0
4420500.0,5014500.0,2018-04-21,62.289433,23.401175,11.2
4420500.0,5015500.0,2018-04-21,62.287724,23.420027,11.4
4420500.0,5016500.0,2018-04-21,62.286015,23.438875,11.4
4420500.0,5017500.0,2018-04-21,62.2843,23.457724,11.5
4420500.0,5018500.0,2018-04-21,62.282585,23.47657,11.6
4420500.0,5019500.0,2018-04-21,62.28087,23.495415,11.7
4419500.0,5000500.0,2018-04-21,62.304264,23.133228,14.9
4419500.0,5001500.0,2018-04-21,62.30259,23.152103,9.5
4419500.0,5002500.0,2018-04-21,62.300915,23.170975,9.5
4419500.0,5003500.0,2018-04-21,62.299236,23.189844,9.6
4419500.0,5004500.0,2018-04-21,62.297554,23.208714,9.6
4419500.0,5005500.0,2018-04-21,62.29587,23.22758,9.7
4419500.0,5006500.0,2018-04-21,62.294186,23.246445,10.0
4419500.0,5007500.0,2018-04-21,62.292496,23.265306,10.1
4419500.0,5008500.0,2018-04-21,62.290806,23.284166,10.2
4419500.0,5009500.0,2018-04-21,62.289112,23.303024,10.2
4419500.0,5010500.0,2018-04-21,62.28742,23.32188,10.3
4419500.0,5011500.0,2018-04-21,62.28572,23.340734,10.4
4419500.0,5012500.0,2018-04-21,62.28402,23.359589,10.6
4419500.0,5013500.0,2018-04-21,62.28232,23.378439,10.9
4419500.0,5014500.0,2018-04-21,62.280613,23.397287,11.1
4419500.0,5015500.0,2018-04-21,62.278908,23.416134,11.2
4419500.0,5016500.0,2018-04-21,62.277195,23.434978,11.3
4419500.0,5017500.0,2018-04-21,62.275486,23.453821,11.4
4419500.0,5018500.0,2018-04-21,62.27377,23.472662,11.5
4419500.0,5019500.0,2018-04-21,62.272053,23.4915,11.7
4418500.0,5000500.0,2018-04-21,62.295437,23.129416,9.3
4418500.0,5001500.0,2018-04-21,62.293762,23.148285,9.3
4418500.0,5002500.0,2018-04-21,62.292088,23.16715,9.4
4418500.0,5003500.0,2018-04-21,62.29041,23.186016,9.5
4418500.0,5004500.0,2018-04-21,62.28873,23.20488,9.5
4418500.0,5005500.0,2018-04-21,62.28705,23.22374,9.6
4418500.0,5006500.0,2018-04-21,62.285362,23.2426,9.7
4418500.0,5007500.0,2018-04-21,62.283672,23.261457,10.0
4418500.0,5008500.0,2018-04-21,62.281982,23.280312,10.1
4418500.0,5009500.0,2018-04-21,62.280293,23.299166,10.2
4418500.0,5010500.0,2018-04-21,62.2786,23.318016,10.2
4418500.0,5011500.0,2018-04-21,62.2769,23.336866,10.3
4418500.0,5012500.0,2018-04-21,62.2752,23.355713,10.4
4418500.0,5013500.0,2018-04-21,62.2735,23.374557,10.6
4418500.0,5014500.0,2018-04-21,62.271793,23.393402,10.9
4418500.0,5015500.0,2018-04-21,62.27009,23.412243,11.2
4418500.0,5016500.0,2018-04-21,62.26838,23.431084,11.3
4418500.0,5017500.0,2018-04-21,62.266666,23.44992,11.3
4418500.0,5018500.0,2018-04-21,62.264954,23.468756,11.4
4418500.0,5019500.0,2018-04-21,62.263237,23.487589,11.6
4417500.0,5000500.0,2018-04-21,62.286613,23.125605,9.1
4417500.0,5001500.0,2018-04-21,62.28494,23.144468,9.2
4417500.0,5002500.0,2018-04-21,62.283264,23.16333,9.2
4417500.0,5003500.0,2018-04-21,62.281586,23.18219,9.4
4417500.0,5004500.0,2018-04-21,62.279907,23.201048,9.4
4417500.0,5005500.0,2018-04-21,62.278225,23.219904,9.5
4417500.0,5006500.0,2018-04-21,62.27654,23.238758,9.6
4417500.0,5007500.0,2018-04-21,62.274853,23.25761,9.8
4417500.0,5008500.0,2018-04-21,62.273163,23.27646,9.9
4417500.0,5009500.0,2018-04-21,62.27147,23.295307,10.1
4417500.0,5010500.0,2018-04-21,62.269775,23.314154,10.2
4417500.0,5011500.0,2018-04-21,62.26808,23.332998,10.3
4417500.0,5012500.0,2018-04-21,62.26638,23.351841,10.4
4417500.0,5013500.0,2018-04-21,62.26468,23.370682,10.5
4417500.0,5014500.0,2018-04-21,62.262978,23.389519,10.8
4417500.0,5015500.0,2018-04-21,62.26127,23.408356,11.1
4417500.0,5016500.0,2018-04-21,62.259563,23.42719,11.2
4417500.0,5017500.0,2018-04-21,62.25785,23.446022,11.2
4417500.0,5018500.0,2018-04-21,62.256138,23.464853,11.3
4417500.0,5019500.0,2018-04-21,62.25442,23.48368,11.5
4416500.0,5000500.0,2018-04-21,62.277786,23.121798,9.0
4416500.0,5001500.0,2018-04-21,62.276115,23.140656,9.1
4416500.0,5002500.0,2018-04-21,62.27444,23.159512,9.0
4416500.0,5003500.0,2018-04-21,62.272762,23.178368,9.3
4416500.0,5004500.0,2018-04-21,62.271084,23.19722,9.4
4416500.0,5005500.0,2018-04-21,62.2694,23.21607,9.4
4416500.0,5006500.0,2018-04-21,62.267715,23.234919,9.5
4416500.0,5007500.0,2018-04-21,62.26603,23.253765,9.7
4416500.0,5008500.0,2018-04-21,62.26434,23.27261,9.8
4416500.0,5009500.0,2018-04-21,62.26265,23.291452,10.0
4416500.0,5010500.0,2018-04-21,62.260956,23.310293,10.1
4416500.0,5011500.0,2018-04-21,62.25926,23.329134,10.2
4416500.0,5012500.0,2018-04-21,62.25756,23.347971,10.3
4416500.0,5013500.0,2018-04-21,62.25586,23.366806,10.4
4416500.0,5014500.0,2018-04-21,62.254158,23.38564,10.6
4416500.0,5015500.0,2018-04-21,62.252453,23.40447,11.0
4416500.0,5016500.0,2018-04-21,62.250744,23.4233,11.0
4416500.0,5017500.0,2018-04-21,62.249035,23.442127,11.1
4416500.0,5018500.0,2018-04-21,62.247322,23.460953,11.1
4416500.0,5019500.0,2018-04-21,62.245605,23.479774,11.1
4415500.0,5000500.0,2018-04-21,62.26896,23.11799,8.9
4415500.0,5001500.0,2018-04-21,62.26729,23.136845,9.0
4415500.0,5002500.0,2018-04-21,62.265614,23.155697,9.1
4415500.0,5003500.0,2018-04-21,62.26394,23.174545,9.2
4415500.0,5004500.0,2018-04-21,62.26226,23.193394,9.2
