Y,X,time,lat,lon,RR
4429500.0,5000500.0,2018-05-02,62.392517,23.1715,6.7
4429500.0,5001500.0,2018-05-02,62.39084,23.190426,6.8
4429500.0,5002500.0,2018-05-02,62.389156,23.209349,6.7
4429500.0,5003500.0,2018-05-02,62.38747,23.22827,6.8
4429500.0,5004500.0,2018-05-02,62.385784,23.24719,6.8
4429500.0,5005500.0,2018-05-02,62.384098,23.266108,6.7
4429500.0,5006500.0,2018-05-02,62.382404,23.285025,6.7
4429500.0,5007500.0,2018-05-02,62.38071,23.303938,6.8
4429500.0,5008500.0,2018-05-02,62.379017,23.32285,6.8
4429500.0,5009500.0,2018-05-02,62.37732,23.34176,6.8
4429500.0,5010500.0,2018-05-02,62.375618,23.360668,7.7
4429500.0,5011500.0,2018-05-02,62.373913,23.379574,7.7
4429500.0,5012500.0,2018-05-02,62.372208,23.398478,7.6
4429500.0,5013500.0,2018-05-02,62.370502,23.41738,7.8
4429500.0,5014500.0,2018-05-02,62.36879,23.43628,7.9
4429500.0,5015500.0,2018-05-02,62.367077,23.455177,7.9
4429500.0,5016500.0,2018-05-02,62.365364,23.474073,7.9
4429500.0,5017500.0,2018-05-02,62.363647,23.492968,7.8
4429500.0,5018500.0,2018-05-02,62.361927,23.51186,7.8
4429500.0,5019500.0,2018-05-02,62.360203,23.53075,7.8
4428500.0,5000500.0,2018-05-02,62.383694,23.167662,6.9
4428500.0,5001500.0,2018-05-02,62.382015,23.18658,6.9
4428500.0,5002500.0,2018-05-02,62.380333,23.2055,6.9
4428500.0,5003500.0,2018-05-02,62.37865,23.224417,6.9
4428500.0,5004500.0,2018-05-02,62.376965,23.243332,6.9
4428500.0,5005500.0,2018-05-02,62.375275,23.262243,6.9
4428500.0,5006500.0,2018-05-02,62.373585,23.281155,6.9
4428500.0,5007500.0,2018-05-02,62.37189,23.300062,6.9
4428500.0,5008500.0,2018-05-02,62.370193,23.31897,6.9
4428500.0,5009500.0,2018-05-02,62.3685,23.337875,7.9
4428500.0,5010500.0,2018-05-02,62.3668,23.356777,7.8
4428500.0,5011500.0,2018-05-02,62.365093,23.375677,7.8
