Y,X,time,lat,lon,RR
4429500.0,5000500.0,2018-03-10,62.392517,23.1715,1.3
4429500.0,5001500.0,2018-03-10,62.39084,23.190426,1.3
4429500.0,5002500.0,2018-03-10,62.389156,23.209349,1.2
4429500.0,5003500.0,2018-03-10,62.38747,23.22827,1.3
4429500.0,5004500.0,2018-03-10,62.385784,23.24719,1.3
4429500.0,5005500.0,2018-03-10,62.384098,23.266108,1.3
4429500.0,5006500.0,2018-03-10,62.382404,23.285025,1.2
4429500.0,5007500.0,2018-03-10,62.38071,23.303938,1.3
4429500.0,5008500.0,2018-03-10,62.379017,23.32285,1.3
4429500.0,5009500.0,2018-03-10,62.37732,23.34176,1.3
4429500.0,5010500.0,2018-03-10,62.375618,23.360668,1.2
4429500.0,5011500.0,2018-03-10,62.373913,23.379574,1.2
4429500.0,5012500.0,2018-03-10,62.372208,23.398478,1.2
4429500.0,5013500.0,2018-03-10,62.370502,23.41738,1.3
4429500.0,5014500.0,2018-03-10,62.36879,23.43628,1.3
4429500.0,5015500.0,2018-03-10,62.367077,23.455177,1.7
4429500.0,5016500.0,2018-03-10,62.365364,23.474073,1.7
4429500.0,5017500.0,2018-03-10,62.363647,23.492968,1.7
4429500.0,5018500.0,2018-03-10,62.361927,23.51186,1.7
4429500.0,5019500.0,2018-03-10,62.360203,23.53075,1.7
4428500.0,5000500.0,2018-03-10,62.383694,23.167662,1.3
4428500.0,5001500.0,2018-03-10,62.382015,23.18658,1.3
4428500.0,5002500.0,2018-03-10,62.380333,23.2055,1.3
4428500.0,5003500.0,2018-03-10,62.37865,23.224417,1.3
4428500.0,5004500.0,2018-03-10,62.376965,23.243332,1.3
4428500.0,5005500.0,2018-03-10,62.375275,23.262243,1.3
4428500.0,5006500.0,2018-03-10,62.373585,23.281155,1.3
4428500.0,5007500.0,2018-03-10,62.37189,23.300062,1.2
4428500.0,5008500.0,2018-03-10,62.370193,23.31897,1.3
4428500.0,5009500.0,2018-03-10,62.3685,23.337875,1.3
4428500.0,5010500.0,2018-03-10,62.3668,23.356777,1.2
4428500.0,5011500.0,2018-03-10,62.365093,23.375677,1.2
4428500.0,5012500.0,2018-03-10,62.36339,23.394577,1.2
4428500.0,5013500.0,2018-03-10,62.361683,23.413473,1.3
4428500.0,5014500.0,2018-03-10,62.359974,23.43237,1.7
4428500.0,5015500.0,2018-03-10,62.35826,23.451262,1.7
4428500.0,5016500.0,2018-03-10,62.35655,23.470154,1.7
4428500.0,5017500.0,2018-03-10,62.35483,23.489042,1.7
4428500.0,5018500.0,2018-03-10,62.35311,23.507929,1.7
4428500.0,5019500.0,2018-03-10,62.35139,23.526814,1.7
4427500.0,5000500.0,2018-03-10,62.374866,23.163824,1.3
4427500.0,5001500.0,2018-03-10,62.373188,23.18274,1.2
4427500.0,5002500.0,2018-03-10,62.37151,23.201654,1.3
4427500.0,5003500.0,2018-03-10,62.369823,23.220566,1.3
4427500.0,5004500.0,2018-03-10,62.36814,23.239475,1.3
4427500.0,5005500.0,2018-03-10,62.36645,23.258383,1.3
4427500.0,5006500.0,2018-03-10,62.36476,23.277288,1.2
4427500.0,5007500.0,2018-03-10,62.363068,23.29619,1.2
4427500.0,5008500.0,2018-03-10,62.361374,23.315092,1.3
4427500.0,5009500.0,2018-03-10,62.359676,23.333992,1.3
4427500.0,5010500.0,2018-03-10,62.35798,23.35289,1.2
4427500.0,5011500.0,2018-03-10,62.356277,23.371786,1.2
4427500.0,5012500.0,2018-03-10,62.354572,23.390678,1.3
4427500.0,5013500.0,2018-03-10,62.352863,23.40957,1.7
4427500.0,5014500.0,2018-03-10,62.351154,23.428461,1.7
4427500.0,5015500.0,2018-03-10,62.349445,23.44735,1.7
4427500.0,5016500.0,2018-03-10,62.34773,23.466234,1.7
4427500.0,5017500.0,2018-03-10,62.346012,23.485119,1.7
4427500.0,5018500.0,2018-03-10,62.344296,23.504,1.7
4427500.0,5019500.0,2018-03-10,62.342575,23.52288,1.7
4426500.0,5000500.0,2018-03-10,62.366043,23.159992,1.3
4426500.0,5001500.0,2018-03-10,62.364365,23.178902,1.3
4426500.0,5002500.0,2018-03-10,62.362682,23.19781,1.2
4426500.0,5003500.0,2018-03-10,62.361004,23.216717,1.3
4426500.0,5004500.0,2018-03-10,62.359318,23.23562,1.3
4426500.0,5005500.0,2018-03-10,62.35763,23.254522,1.3
4426500.0,5006500.0,2018-03-10,62.35594,23.273422,1.2
4426500.0,5007500.0,2018-03-10,62.354248,23.292322,1.3
4426500.0,5008500.0,2018-03-10,62.352554,23.311218,1.3
4426500.0,5009500.0,2018-03-10,62.350857,23.330112,1.3
4426500.0,5010500.0,2018-03-10,62.34916,23.349005,1.3
4426500.0,5011500.0,2018-03-10,62.347458,23.367895,1.3
4426500.0,5012500.0,2018-03-10,62.345753,23.386784,1.7
4426500.0,5013500.0,2018-03-10,62.344048,23.40567,1.7
4426500.0,5014500.0,2018-03-10,62.34234,23.424555,1.7
4426500.0,5015500.0,2018-03-10,62.340626,23.443438,1.7
4426500.0,5016500.0,2018-03-10,62.338913,23.462318,1.7
4426500.0,5017500.0,2018-03-10,62.337196,23.481197,1.7
4426500.0,5018500.0,2018-03-10,62.33548,23.500074,1.7
4426500.0,5019500.0,2018-03-10,62.33376,23.518948,1.7
4425500.0,5000500.0,2018-03-10,62.357216,23.15616,1.3
4425500.0,5001500.0,2018-03-10,62.35554,23.175066,1.2
4425500.0,5002500.0,2018-03-10,62.35386,23.19397,1.3
4425500.0,5003500.0,2018-03-10,62.352177,23.21287,1.3
4425500.0,5004500.0,2018-03-10,62.350494,23.23177,1.3
4425500.0,5005500.0,2018-03-10,62.34881,23.250666,1.3
4425500.0,5006500.0,2018-03-10,62.34712,23.269562,1.2
4425500.0,5007500.0,2018-03-10,62.34543,23.288454,1.3
4425500.0,5008500.0,2018-03-10,62.343735,23.307346,1.3
4425500.0,5009500.0,2018-03-10,62.342037,23.326235,1.3
4425500.0,5010500.0,2018-03-10,62.34034,23.345121,1.3
4425500.0,5011500.0,2018-03-10,62.33864,23.364008,1.7
4425500.0,5012500.0,2018-03-10,62.336933,23.38289,1.7
4425500.0,5013500.0,2018-03-10,62.335228,23.401773,1.7
4425500.0,5014500.0,2018-03-10,62.33352,23.420652,1.7
4425500.0,5015500.0,2018-03-10,62.33181,23.43953,1.7
4425500.0,5016500.0,2018-03-10,62.330097,23.458405,1.7
