Y,X,time,lat,lon,RR
4429500.0,5000500.0,2018-04-07,62.392517,23.1715,13.9
4429500.0,5001500.0,2018-04-07,62.39084,23.190426,14.1
4429500.0,5002500.0,2018-04-07,62.389156,23.209349,14.1
4429500.0,5003500.0,2018-04-07,62.38747,23.22827,14.4
4429500.0,5004500.0,2018-04-07,62.385784,23.24719,14.4
4429500.0,5005500.0,2018-04-07,62.384098,23.266108,14.5
4429500.0,5006500.0,2018-04-07,62.382404,23.285025,14.6
4429500.0,5007500.0,2018-04-07,62.38071,23.303938,14.8
4429500.0,5008500.0,2018-04-07,62.379017,23.32285,14.9
4429500.0,5009500.0,2018-04-07,62.37732,23.34176,15.0
4429500.0,5010500.0,2018-04-07,62.375618,23.360668,14.7
4429500.0,5011500.0,2018-04-07,62.373913,23.379574,14.7
4429500.0,5012500.0,2018-04-07,62.372208,23.398478,14.6
4429500.0,5013500.0,2018-04-07,62.370502,23.41738,14.9
4429500.0,5014500.0,2018-04-07,62.36879,23.43628,15.0
4429500.0,5015500.0,2018-04-07,62.367077,23.455177,15.0
4429500.0,5016500.0,2018-04-07,62.365364,23.474073,15.0
4429500.0,5017500.0,2018-04-07,62.363647,23.492968,15.0
4429500.0,5018500.0,2018-04-07,62.361927,23.51186,14.9
4429500.0,5019500.0,2018-04-07,62.360203,23.53075,14.8
4428500.0,5000500.0,2018-04-07,62.383694,23.167662,13.7
4428500.0,5001500.0,2018-04-07,62.382015,23.18658,13.9
4428500.0,5002500.0,2018-04-07,62.380333,23.2055,14.0
4428500.0,5003500.0,2018-04-07,62.37865,23.224417,14.2
4428500.0,5004500.0,2018-04-07,62.376965,23.243332,14.2
4428500.0,5005500.0,2018-04-07,62.375275,23.262243,14.3
4428500.0,5006500.0,2018-04-07,62.373585,23.281155,14.4
4428500.0,5007500.0,2018-04-07,62.37189,23.300062,14.5
4428500.0,5008500.0,2018-04-07,62.370193,23.31897,14.7
4428500.0,5009500.0,2018-04-07,62.3685,23.337875,14.6
4428500.0,5010500.0,2018-04-07,62.3668,23.356777,14.5
4428500.0,5011500.0,2018-04-07,62.365093,23.375677,14.5
4428500.0,5012500.0,2018-04-07,62.36339,23.394577,14.4
4428500.0,5013500.0,2018-04-07,62.361683,23.413473,14.6
4428500.0,5014500.0,2018-04-07,62.359974,23.43237,14.7
4428500.0,5015500.0,2018-04-07,62.35826,23.451262,14.9
4428500.0,5016500.0,2018-04-07,62.35655,23.470154,14.8
4428500.0,5017500.0,2018-04-07,62.35483,23.489042,14.8
4428500.0,5018500.0,2018-04-07,62.35311,23.507929,14.8
4428500.0,5019500.0,2018-04-07,62.35139,23.526814,14.6
4427500.0,5000500.0,2018-04-07,62.374866,23.163824,13.5
4427500.0,5001500.0,2018-04-07,62.373188,23.18274,13.6
4427500.0,5002500.0,2018-04-07,62.37151,23.201654,13.7
4427500.0,5003500.0,2018-04-07,62.369823,23.220566,13.9
4427500.0,5004500.0,2018-04-07,62.36814,23.239475,14.0
4427500.0,5005500.0,2018-04-07,62.36645,23.258383,14.1
4427500.0,5006500.0,2018-04-07,62.36476,23.277288,14.1
4427500.0,5007500.0,2018-04-07,62.363068,23.29619,14.2
4427500.0,5008500.0,2018-04-07,62.361374,23.315092,14.4
4427500.0,5009500.0,2018-04-07,62.359676,23.333992,14.4
4427500.0,5010500.0,2018-04-07,62.35798,23.35289,14.2
4427500.0,5011500.0,2018-04-07,62.356277,23.371786,14.2
4427500.0,5012500.0,2018-04-07,62.354572,23.390678,14.3
4427500.0,5013500.0,2018-04-07,62.352863,23.40957,14.5
4427500.0,5014500.0,2018-04-07,62.351154,23.428461,14.5
4427500.0,5015500.0,2018-04-07,62.349445,23.44735,14.5
4427500.0,5016500.0,2018-04-07,62.34773,23.466234,14.5
4427500.0,5017500.0,2018-04-07,62.346012,23.485119,14.6
4427500.0,5018500.0,2018-04-07,62.344296,23.504,14.5
4427500.0,5019500.0,2018-04-07,62.342575,23.52288,14.5
4426500.0,5000500.0,2018-04-07,62.366043,23.159992,13.3
4426500.0,5001500.0,2018-04-07,62.364365,23.178902,13.4
4426500.0,5002500.0,2018-04-07,62.362682,23.19781,13.5
4426500.0,5003500.0,2018-04-07,62.361004,23.216717,13.6
4426500.0,5004500.0,2018-04-07,62.359318,23.23562,13.7
4426500.0,5005500.0,2018-04-07,62.35763,23.254522,13.8
4426500.0,5006500.0,2018-04-07,62.35594,23.273422,13.9
4426500.0,5007500.0,2018-04-07,62.354248,23.292322,14.1
4426500.0,5008500.0,2018-04-07,62.352554,23.311218,14.2
4426500.0,5009500.0,2018-04-07,62.350857,23.330112,14.2
4426500.0,5010500.0,2018-04-07,62.34916,23.349005,14.1
4426500.0,5011500.0,2018-04-07,62.347458,23.367895,14.2
4426500.0,5012500.0,2018-04-07,62.345753,23.386784,14.3
4426500.0,5013500.0,2018-04-07,62.344048,23.40567,14.4
4426500.0,5014500.0,2018-04-07,62.34234,23.424555,14.3
4426500.0,5015500.0,2018-04-07,62.340626,23.443438,14.3
4426500.0,5016500.0,2018-04-07,62.338913,23.462318,14.2
4426500.0,5017500.0,2018-04-07,62.337196,23.481197,14.2
4426500.0,5018500.0,2018-04-07,62.33548,23.500074,14.2
4426500.0,5019500.0,2018-04-07,62.33376,23.518948,14.2
4425500.0,5000500.0,2018-04-07,62.357216,23.15616,13.1
4425500.0,5001500.0,2018-04-07,62.35554,23.175066,13.1
4425500.0,5002500.0,2018-04-07,62.35386,23.19397,13.3
4425500.0,5003500.0,2018-04-07,62.352177,23.21287,13.4
4425500.0,5004500.0,2018-04-07,62.350494,23.23177,13.5
4425500.0,5005500.0,2018-04-07,62.34881,23.250666,13.6
4425500.0,5006500.0,2018-04-07,62.34712,23.269562,13.8
4425500.0,5007500.0,2018-04-07,62.34543,23.288454,13.8
4425500.0,5008500.0,2018-04-07,62.343735,23.307346,13.9
4425500.0,5009500.0,2018-04-07,62.342037,23.326235,13.9
4425500.0,5010500.0,2018-04-07,62.34034,23.345121,13.9
4425500.0,5011500.0,2018-04-07,62.33864,23.364008,14.0
4425500.0,5012500.0,2018-04-07,62.336933,23.38289,13.8
4425500.0,5013500.0,2018-04-07,62.335228,23.401773,14.0
4425500.0,5014500.0,2018-04-07,62.33352,23.420652,14.0
4425500.0,5015500.0,2018-04-07,62.33181,23.43953,14.1
4425500.0,5016500.0,2018-04-07,62.330097,23.458405,14.0
4425500.0,5017500.0,2018-04-07,62.32838,23.477278,13.9
4425500.0,5018500.0,2018-04-07,62.326664,23.49615,13.9
